Firestore (3.8.6) 2020-07-06T06:24:45.432Z Wh2wq [Firestore.requestStream]: Received response: {"documentChange":{"targetIds":[1],"removedTargetIds":[],"document":{"fields":{"listening":{"booleanValue":true,"valueType":"booleanValue"},"uid":{"stringValue":"3Ioi8MH5djJ2M7d","valueType":"stringValue"},"channelId":{"stringValue":"channel_10","valueType":"stringValue"},"segmentId":{"stringValue":"segment_1","valueType":"stringValue"}},"name":"projects/onsnapshot-failure/databases/(default)/documents/listeningTo/channel_10_3Ioi8MH5djJ2M7d","createTime":{"seconds":"1593342430","nanos":681310000},"updateTime":{"seconds":"1593342430","nanos":681310000}}},"responseType":"documentChange"}
Firestore (3.8.6) 2020-07-06T06:24:45.433Z Wh2wq [Watch.onData]: Processing change event
Firestore (3.8.6) 2020-07-06T06:24:45.433Z Wh2wq [Watch.onData]: Received document change
Firestore (3.8.6) 2020-07-06T06:24:45.433Z Wh2wq [Firestore.requestStream]: Received response: {"documentChange":{"targetIds":[1],"removedTargetIds":[],"document":{"fields":{"segmentId":{"stringValue":"segment_1","valueType":"stringValue"},"channelId":{"stringValue":"channel_10","valueType":"stringValue"},"listening":{"booleanValue":true,"valueType":"booleanValue"},"uid":{"stringValue":"3UYUnH8lxw2yb12","valueType":"stringValue"}},"name":"projects/onsnapshot-failure/databases/(default)/documents/listeningTo/channel_10_3UYUnH8lxw2yb12","createTime":{"seconds":"1593342802","nanos":361833000},"updateTime":{"seconds":"1593342802","nanos":361833000}}},"responseType":"documentChange"}
Firestore (3.8.6) 2020-07-06T06:24:45.433Z Wh2wq [Watch.onData]: Processing change event
Firestore (3.8.6) 2020-07-06T06:24:45.433Z Wh2wq [Watch.onData]: Received document change
Firestore (3.8.6) 2020-07-06T06:24:45.433Z Wh2wq [Firestore.requestStream]: Received response: {"documentChange":{"targetIds":[1],"removedTargetIds":[],"document":{"fields":{"channelId":{"stringValue":"channel_10","valueType":"stringValue"},"uid":{"stringValue":"5Bc7GTXwAhajkhn","valueType":"stringValue"},"segmentId":{"stringValue":"segment_1","valueType":"stringValue"},"listening":{"booleanValue":true,"valueType":"booleanValue"}},"name":"projects/onsnapshot-failure/databases/(default)/documents/listeningTo/channel_10_5Bc7GTXwAhajkhn","createTime":{"seconds":"1593342778","nanos":460693000},"updateTime":{"seconds":"1593342778","nanos":460693000}}},"responseType":"documentChange"}
Firestore (3.8.6) 2020-07-06T06:24:45.433Z Wh2wq [Watch.onData]: Processing change event
Firestore (3.8.6) 2020-07-06T06:24:45.434Z Wh2wq [Watch.onData]: Received document change
Firestore (3.8.6) 2020-07-06T06:24:45.434Z Wh2wq [Firestore.requestStream]: Received response: {"documentChange":{"targetIds":[1],"removedTargetIds":[],"document":{"fields":{"channelId":{"stringValue":"channel_10","valueType":"stringValue"},"segmentId":{"stringValue":"segment_1","valueType":"stringValue"},"listening":{"booleanValue":false,"valueType":"booleanValue"},"uid":{"stringValue":"7z401ZtzuxoTiTu","valueType":"stringValue"}},"name":"projects/onsnapshot-failure/databases/(default)/documents/listeningTo/channel_10_7z401ZtzuxoTiTu","createTime":{"seconds":"1593342428","nanos":650591000},"updateTime":{"seconds":"1593342428","nanos":650591000}}},"responseType":"documentChange"}
Firestore (3.8.6) 2020-07-06T06:24:45.434Z Wh2wq [Watch.onData]: Processing change event
Firestore (3.8.6) 2020-07-06T06:24:45.434Z Wh2wq [Watch.onData]: Received document change
Firestore (3.8.6) 2020-07-06T06:24:45.434Z Wh2wq [Firestore.requestStream]: Received response: {"documentChange":{"targetIds":[1],"removedTargetIds":[],"document":{"fields":{"segmentId":{"stringValue":"segment_1","valueType":"stringValue"},"uid":{"stringValue":"8jSE6fKBoPkrv5y","valueType":"stringValue"},"channelId":{"stringValue":"channel_10","valueType":"stringValue"},"listening":{"booleanValue":false,"valueType":"booleanValue"}},"name":"projects/onsnapshot-failure/databases/(default)/documents/listeningTo/channel_10_8jSE6fKBoPkrv5y","createTime":{"seconds":"1593342796","nanos":288000000},"updateTime":{"seconds":"1593342796","nanos":288000000}}},"responseType":"documentChange"}
Firestore (3.8.6) 2020-07-06T06:24:45.434Z Wh2wq [Watch.onData]: Processing change event
Firestore (3.8.6) 2020-07-06T06:24:45.434Z Wh2wq [Watch.onData]: Received document change
Firestore (3.8.6) 2020-07-06T06:24:45.435Z Wh2wq [Firestore.requestStream]: Received response: {"documentChange":{"targetIds":[1],"removedTargetIds":[],"document":{"fields":{"channelId":{"stringValue":"channel_10","valueType":"stringValue"},"uid":{"stringValue":"8r5ppvQ0h3rWwUT","valueType":"stringValue"},"segmentId":{"stringValue":"segment_1","valueType":"stringValue"},"listening":{"booleanValue":false,"valueType":"booleanValue"}},"name":"projects/onsnapshot-failure/databases/(default)/documents/listeningTo/channel_10_8r5ppvQ0h3rWwUT","createTime":{"seconds":"1593342796","nanos":288000000},"updateTime":{"seconds":"1593342796","nanos":288000000}}},"responseType":"documentChange"}
Firestore (3.8.6) 2020-07-06T06:24:45.435Z Wh2wq [Watch.onData]: Processing change event
Firestore (3.8.6) 2020-07-06T06:24:45.435Z Wh2wq [Watch.onData]: Received document change
Firestore (3.8.6) 2020-07-06T06:24:45.439Z Wh2wq [Firestore.requestStream]: Received response: {"documentChange":{"targetIds":[1],"removedTargetIds":[],"document":{"fields":{"listening":{"booleanValue":false,"valueType":"booleanValue"},"channelId":{"stringValue":"channel_10","valueType":"stringValue"},"uid":{"stringValue":"AMsoIKw6psCYln0","valueType":"stringValue"},"segmentId":{"stringValue":"segment_1","valueType":"stringValue"}},"name":"projects/onsnapshot-failure/databases/(default)/documents/listeningTo/channel_10_AMsoIKw6psCYln0","createTime":{"seconds":"1593342790","nanos":417952000},"updateTime":{"seconds":"1593342790","nanos":417952000}}},"responseType":"documentChange"}
Firestore (3.8.6) 2020-07-06T06:24:45.439Z Wh2wq [Watch.onData]: Processing change event
Firestore (3.8.6) 2020-07-06T06:24:45.439Z Wh2wq [Watch.onData]: Received document change
Firestore (3.8.6) 2020-07-06T06:24:45.440Z Wh2wq [Firestore.requestStream]: Received response: {"documentChange":{"targetIds":[1],"removedTargetIds":[],"document":{"fields":{"segmentId":{"stringValue":"segment_1","valueType":"stringValue"},"listening":{"booleanValue":true,"valueType":"booleanValue"},"channelId":{"stringValue":"channel_10","valueType":"stringValue"},"uid":{"stringValue":"AOTYSznwyj1ObuP","valueType":"stringValue"}},"name":"projects/onsnapshot-failure/databases/(default)/documents/listeningTo/channel_10_AOTYSznwyj1ObuP","createTime":{"seconds":"1593342438","nanos":887733000},"updateTime":{"seconds":"1593342438","nanos":887733000}}},"responseType":"documentChange"}
Firestore (3.8.6) 2020-07-06T06:24:45.440Z Wh2wq [Watch.onData]: Processing change event
Firestore (3.8.6) 2020-07-06T06:24:45.440Z Wh2wq [Watch.onData]: Received document change
Firestore (3.8.6) 2020-07-06T06:24:45.440Z Wh2wq [Firestore.requestStream]: Received response: {"documentChange":{"targetIds":[1],"removedTargetIds":[],"document":{"fields":{"listening":{"booleanValue":false,"valueType":"booleanValue"},"channelId":{"stringValue":"channel_10","valueType":"stringValue"},"segmentId":{"stringValue":"segment_1","valueType":"stringValue"},"uid":{"stringValue":"Abk1VWk4cdoDiRo","valueType":"stringValue"}},"name":"projects/onsnapshot-failure/databases/(default)/documents/listeningTo/channel_10_Abk1VWk4cdoDiRo","createTime":{"seconds":"1593342430","nanos":681310000},"updateTime":{"seconds":"1593342430","nanos":681310000}}},"responseType":"documentChange"}
Firestore (3.8.6) 2020-07-06T06:24:45.441Z Wh2wq [Watch.onData]: Processing change event
Firestore (3.8.6) 2020-07-06T06:24:45.441Z Wh2wq [Watch.onData]: Received document change
Firestore (3.8.6) 2020-07-06T06:24:45.441Z Wh2wq [Firestore.requestStream]: Received response: {"documentChange":{"targetIds":[1],"removedTargetIds":[],"document":{"fields":{"uid":{"stringValue":"AykyP0HabefoZU2","valueType":"stringValue"},"channelId":{"stringValue":"channel_10","valueType":"stringValue"},"listening":{"booleanValue":true,"valueType":"booleanValue"},"segmentId":{"stringValue":"segment_1","valueType":"stringValue"}},"name":"projects/onsnapshot-failure/databases/(default)/documents/listeningTo/channel_10_AykyP0HabefoZU2","createTime":{"seconds":"1593342440","nanos":922795000},"updateTime":{"seconds":"1593342440","nanos":922795000}}},"responseType":"documentChange"}
Firestore (3.8.6) 2020-07-06T06:24:45.441Z Wh2wq [Watch.onData]: Processing change event
Firestore (3.8.6) 2020-07-06T06:24:45.441Z Wh2wq [Watch.onData]: Received document change
Firestore (3.8.6) 2020-07-06T06:24:45.441Z Wh2wq [Firestore.requestStream]: Received response: {"documentChange":{"targetIds":[1],"removedTargetIds":[],"document":{"fields":{"segmentId":{"stringValue":"segment_1","valueType":"stringValue"},"channelId":{"stringValue":"channel_10","valueType":"stringValue"},"uid":{"stringValue":"BKhO7I2nLMHbiCO","valueType":"stringValue"},"listening":{"booleanValue":true,"valueType":"booleanValue"}},"name":"projects/onsnapshot-failure/databases/(default)/documents/listeningTo/channel_10_BKhO7I2nLMHbiCO","createTime":{"seconds":"1593342458","nanos":162160000},"updateTime":{"seconds":"1593342458","nanos":162160000}}},"responseType":"documentChange"}
Firestore (3.8.6) 2020-07-06T06:24:45.441Z Wh2wq [Watch.onData]: Processing change event
Firestore (3.8.6) 2020-07-06T06:24:45.441Z Wh2wq [Watch.onData]: Received document change
Firestore (3.8.6) 2020-07-06T06:24:45.442Z Wh2wq [Firestore.requestStream]: Received response: {"documentChange":{"targetIds":[1],"removedTargetIds":[],"document":{"fields":{"uid":{"stringValue":"DogBoPvJrZYbeCu","valueType":"stringValue"},"segmentId":{"stringValue":"segment_1","valueType":"stringValue"},"listening":{"booleanValue":true,"valueType":"booleanValue"},"channelId":{"stringValue":"channel_10","valueType":"stringValue"}},"name":"projects/onsnapshot-failure/databases/(default)/documents/listeningTo/channel_10_DogBoPvJrZYbeCu","createTime":{"seconds":"1593342800","nanos":384830000},"updateTime":{"seconds":"1593342800","nanos":384830000}}},"responseType":"documentChange"}
Firestore (3.8.6) 2020-07-06T06:24:45.442Z Wh2wq [Watch.onData]: Processing change event
Firestore (3.8.6) 2020-07-06T06:24:45.442Z Wh2wq [Watch.onData]: Received document change
Firestore (3.8.6) 2020-07-06T06:24:45.442Z Wh2wq [Firestore.requestStream]: Received response: {"documentChange":{"targetIds":[1],"removedTargetIds":[],"document":{"fields":{"uid":{"stringValue":"DyRcBjQZ5GVuM4a","valueType":"stringValue"},"channelId":{"stringValue":"channel_10","valueType":"stringValue"},"segmentId":{"stringValue":"segment_1","valueType":"stringValue"},"listening":{"booleanValue":true,"valueType":"booleanValue"}},"name":"projects/onsnapshot-failure/databases/(default)/documents/listeningTo/channel_10_DyRcBjQZ5GVuM4a","createTime":{"seconds":"1593342434","nanos":783583000},"updateTime":{"seconds":"1593342434","nanos":783583000}}},"responseType":"documentChange"}
Firestore (3.8.6) 2020-07-06T06:24:45.442Z Wh2wq [Watch.onData]: Processing change event
Firestore (3.8.6) 2020-07-06T06:24:45.442Z Wh2wq [Watch.onData]: Received document change
